Account Statement for * (Virtual Account) since 6/21/22 through 6/21/22

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
,,,,TOTAL,,,,

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance

 
Total Cash **************


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,6/21/22 15:23:42,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,RE #2146484173,,,,,,,,166.39,STP,STD,
,,6/21/22 15:23:39,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484173,,,,,,,,166.45,STP,STD,
,,6/21/22 15:23:38,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484173,,,,,,,,166.53,STP,STD,
,,6/21/22 15:23:36,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,166.56,STP,STD,
,,6/21/22 15:15:55,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,166.60,LMT,DAY,CANCELED
,,,RE #2146484163,,,,,,,,,,,
,,6/21/22 15:07:06,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,EXPIRED
,,,,,,,,,,,167.47,STP,STD,
,,6/21/22 15:06:55,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484160,,,,,,,,167.25,STP,STD,
,,6/21/22 15:05:41,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,166.66,LMT,DAY,CANCELED
,,,RE #2146484163,,,,,,,,,,,
,,6/21/22 15:05:36,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,166.67,LMT,DAY,CANCELED
,,6/21/22 15:05:29,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484160,,,,,,,,167.17,STP,STD,
,,6/21/22 15:05:25,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,167.15,STP,STD,
